time gssi_420mhz
3.9628180039e-08 -7.65736612e-14
3.9726027397e-08 -7.09959509e-14
3.9823874755e-08 -6.58266360e-14
3.9921722114e-08 -6.10553885e-14
4.0019569472e-08 -5.66551867e-14
4.0117416830e-08 -5.26036048e-14
4.0215264188e-08 -4.87874486e-14
4.0313111546e-08 -4.52175906e-14
4.0410958904e-08 -4.19437904e-14
4.0508806262e-08 -3.89424757e-14
4.0606653620e-08 -3.61361648e-14
4.0704500978e-08 -3.34904681e-14
4.0802348337e-08 -3.10573623e-14
4.0900195695e-08 -2.88440522e-14
4.0998043053e-08 -2.67608430e-14
4.1095890411e-08 -2.48121136e-14
4.1193737769e-08 -2.30151820e-14
4.1291585127e-08 -2.13370229e-14
4.1389432485e-08 -1.98170859e-14
4.1487279843e-08 -1.83774362e-14
4.1585127202e-08 -1.70585100e-14
4.1682974560e-08 -1.58249799e-14
4.1780821918e-08 -1.46983571e-14
4.1878669276e-08 -1.36189558e-14
4.1976516634e-08 -1.26275739e-14
4.2074363992e-08 -1.17019889e-14
4.2172211350e-08 -1.08724294e-14
4.2270058708e-08 -1.00913997e-14
4.2367906067e-08 -9.37189195e-15
4.2465753425e-08 -8.67816982e-15
4.2563600783e-08 -8.05852084e-15
4.2661448141e-08 -7.46725783e-15
4.2759295499e-08 -6.91082760e-15
4.2857142857e-08 -6.43793024e-15
4.2954990215e-08 -5.97000384e-15
4.3052837573e-08 -5.52774012e-15
4.3150684932e-08 -5.10935972e-15
4.3248532290e-08 -4.74072941e-15
4.3346379648e-08 -4.41461547e-15
4.3444227006e-08 -4.09142077e-15
4.3542074364e-08 -3.77347307e-15
4.3639921722e-08 -3.49043440e-15
4.3737769080e-08 -3.25579334e-15
4.3835616438e-08 -3.01195304e-15
4.3933463796e-08 -2.79419903e-15
4.4031311155e-08 -2.57019544e-15
4.4129158513e-08 -2.40249149e-15
4.4227005871e-08 -2.25494267e-15
4.4324853229e-08 -2.08097796e-15
4.4422700587e-08 -1.93031500e-15
4.4520547945e-08 -1.80451330e-15
4.4618395303e-08 -1.68766699e-15
4.4716242661e-08 -1.57040198e-15
4.4814090020e-08 -1.42744073e-15
4.4911937378e-08 -1.33552539e-15
4.5009784736e-08 -1.30052087e-15
4.5107632094e-08 -1.15137307e-15
4.5205479452e-08 -1.07651675e-15
4.5303326810e-08 -9.85134536e-16
4.5401174168e-08 -9.40742919e-16
4.5499021526e-08 -8.75359104e-16
4.5596868885e-08 -7.94567153e-16
4.5694716243e-08 -7.46644413e-16
4.5792563601e-08 -6.71458530e-16
4.5890410959e-08 -6.47880269e-16
4.5988258317e-08 -5.81676331e-16
4.6086105675e-08 -5.18444860e-16
4.6183953033e-08 -4.84114371e-16
4.6281800391e-08 -4.64484684e-16
4.6379647750e-08 -4.19859416e-16
4.6477495108e-08 -3.66314490e-16
4.6575342466e-08 -3.40238692e-16
4.6673189824e-08 -3.41384523e-16
4.6771037182e-08 -3.13191988e-16
4.6868884540e-08 -2.49532124e-16
4.6966731898e-08 -2.56239754e-16
4.7064579256e-08 -2.63570725e-16
4.7162426614e-08 -2.61049810e-16
4.7260273973e-08 -2.00626713e-16
4.7358121331e-08 -1.98867777e-16
4.7455968689e-08 -2.18706845e-16
4.7553816047e-08 -2.19937211e-16
4.7651663405e-08 -1.85511295e-16
4.7749510763e-08 -1.76013409e-16
4.7847358121e-08 -1.85580392e-16
4.7945205479e-08 -1.83451212e-16
4.8043052838e-08 -1.54960001e-16
4.8140900196e-08 -1.33370393e-16
4.8238747554e-08 -1.34115824e-16
4.8336594912e-08 -1.48244065e-16
4.8434442270e-08 -1.07620270e-16
4.8532289628e-08 -9.94121706e-17
4.8630136986e-08 -1.07015492e-16
4.8727984344e-08 -1.18039941e-16
4.8825831703e-08 -7.13626689e-17
4.8923679061e-08 -5.51212819e-17
4.9021526419e-08 -3.30751623e-17
4.9119373777e-08 -6.20811429e-17
4.9217221135e-08 -4.88799451e-17
4.9315068493e-08 -3.33706593e-17
4.9412915851e-08 -2.44809684e-17
4.9510763209e-08 -1.91116066e-17
4.9608610568e-08 -2.89774700e-17
4.9706457926e-08 -2.28153204e-17
4.9804305284e-08 0.00000000e+00
4.9902152642e-08 0.00000000e+00
5.0000000000e-08 0.00000000e+00
5.0097847358e-08 0.00000000e+00
5.0195694716e-08 0.00000000e+00
5.0293542074e-08 0.00000000e+00
5.0391389432e-08 0.00000000e+00
5.0489236791e-08 0.00000000e+00
5.0587084149e-08 0.00000000e+00
5.0684931507e-08 0.00000000e+00
5.0782778865e-08 0.00000000e+00
5.0880626223e-08 0.00000000e+00
5.0978473581e-08 0.00000000e+00
5.1076320939e-08 0.00000000e+00
5.1174168297e-08 0.00000000e+00
5.1272015656e-08 0.00000000e+00
5.1369863014e-08 0.00000000e+00
5.1467710372e-08 0.00000000e+00
5.1565557730e-08 0.00000000e+00
5.1663405088e-08 0.00000000e+00
5.1761252446e-08 0.00000000e+00
5.1859099804e-08 0.00000000e+00
5.1956947162e-08 0.00000000e+00
5.2054794521e-08 0.00000000e+00
5.2152641879e-08 0.00000000e+00
5.2250489237e-08 0.00000000e+00
5.2348336595e-08 0.00000000e+00
